town11nm,latitude,longitude
blyth (northumberland),55.1270903,-1.5099726
holbeach,52.80421,0.0180043
east horsley,51.2716408,-0.4291819
burwell,52.2757688,0.3282566
darlington,54.5242081,-1.5555812
axminster,50.7820966,-2.9979915
looe,50.3522702,-4.454196
southwater,51.0242057,-0.3523171
cranfield,52.0690205,-0.6079317
norton canes,52.6636094,-1.9783415
newquay,50.4134414,-5.0848836
hemsworth,53.6131631,-1.36018
lightwater,51.3494743,-0.6701098
bewdley,52.3754763,-2.3162408
sawtry,52.4380671,-0.2820551
millom,54.2106855,-3.2719019
thirsk,54.2327725,-1.3423775
huntingdon,40.3446332,-78.0281185
shirebrook,53.2063042,-1.2205319
sherborne,50.950265,-2.5179235
silsden,53.913185,-1.9374737
willington (county durham),54.7110471,-1.690453
south molton,51.0170696,-3.8330599
honiton,50.7981119,-3.1924599
chippenham (wiltshire),51.4587621,-2.1159032
gillingham (north dorset),51.0460433,-2.3040573
redbourn,51.7985104,-0.3951486
west mersea,51.7769754,0.917361
tring,51.7940357,-0.6609205
guisborough,54.5359551,-1.051085
olney,33.3711244,-98.7566946
new alresford,51.0895586,-1.1629772
marchwood,50.8878012,-1.4483258
rugeley,52.7589402,-1.9362042
saffron walden,52.021569,0.2411256
knutsford,53.3025402,-2.3716001
shepley,53.5887533,-1.7048254
biggleswade,52.0882012,-0.2589013
ripon,54.1362169,-1.5238006
selsey,50.7327781,-0.7922896
ilfracombe,51.2076674,-4.1254662
saltburn-by-the-sea,54.5846769,-0.9740921
ventnor,50.594976,-1.2029747
newton aycliffe,54.6218534,-1.5663624
newbiggin-by-the-sea,55.1853665,-1.5109345
filey,54.2096884,-0.2888382
hoo st werburgh,51.4235191,0.5591944
arlesey,52.0076781,-0.2617753
south woodham ferrers,51.6440357,0.6176655
earls barton,52.263397,-0.7455269
lichfield,52.6843696,-1.8275286
calverton,40.9117907,-72.7709709
blackfield,50.8179972,-1.3726143
yaxley,52.511405,-0.241231
lymm,53.3811782,-2.4764512
dereham,52.6802052,0.9386329
shrewsbury,52.707755,-2.7540658
witley,51.1331013,-0.6459792
newport (telford and wrekin),52.7688594,-2.3783676
beaconsfield,51.6082881,-0.6571233
croesowallt,NA,NA
chapel-en-le-frith,53.3232509,-1.9148352
longridge,53.8197811,-2.6008443
verwood,50.8801244,-1.8752368
whitchurch (shropshire),52.969273,-2.6839528
tidworth,51.2373025,-1.661548
bracebridge heath,53.1949272,-0.5345893
barton-upon-humber,53.6858065,-0.4395216
aylsham,52.7950031,1.2511895
poringland,52.5670782,1.3496312
